"","RR_M_042822","RR_M_060122","RR_M_070522","RR_M_072022","RR_M_091322","RR_D_042822","RR_D_060122","RR_D_070522","RR_D_072022","RR_D_091322","RR_K_042822","RR_K_060122","RR_K_070522","RR_K_072022","RR_K_091322"
"ASV_64",0,0,0,0,0,0,0,0,0,0,1.32192809488736,-2.15754127698648,-2.32192809488736,0,-3
"ASV_12",0,-1.7640708243288,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_54",0,0,0,0,0,0,0,0,0,0,0,0,-2.50250034052918,0,0
"ASV_59",0,0,0,0,0,0,0,0,0,0,0,0,4.29768054864068,0,0
"ASV_71",0,0,0,0,0,0,0,0,0,0,0,0,0,1.71049338280502,0
"ASV_35",0,0,0,0,-2.76553474636298,0,0,0,0,0,0,0,0,0,0
"ASV_28",0,0,0,0,2.51784830486262,0,0,0,0,0,0,0,0,0,0
"ASV_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93859945533586
"ASV_52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.16992500144231
