nr,plot,block,irrigation,fertilization ,type,sampling date,x,var3,AOA_nbc_per_ngDNA,AOA_nbc_per_g_DW_soil,AOA_16S_ratio_percent,AOB_nbc_per_ngDNA,AOB_nbc_per_g_DW_soil,AOB_16S_ratio_percent,AOA_AOB_ratio,AOA_AOB_ratio_percent,ComA_nbc_per_ngDNA,ComA_nbc_per_g_DW_soil,ComA_16S_ratio_percent,ComB_nbc_per_ngDNA,ComB_nbc_per_g_DW_soil,ComB_16S_ratio_percent,ComA_ComB_ratio,ComA_ComB_ratio_percent,Tot_nbc_per_ngDNA,Tot_nbc_per_g_DW_soil
90,18,9,rainout,K,BS,20/07/2022,rain.K,RKBS4,8.28E+03,2.92E+08,2.53,7.08E+03,2.50E+08,2.16,1.17,116.9322374,1.22E+03,4.31E+07,0.374,1.51E+02,5.34E+06,0.046,8.09,808.5048766,3.27E+05,1.15E+10
91,19,10,control,K,BS,20/07/2022,cont.K,CKBS4,8.31E+03,3.26E+08,2.19,1.28E+04,5.00E+08,3.37,0.65,65.11563273,2.41E+03,9.43E+07,0.635,3.15E+02,1.23E+07,0.083,7.65,764.5851691,3.79E+05,1.48E+10
92,20,10,rainout,K,BS,20/07/2022,rain.K,RKBS4,6.89E+03,2.95E+08,2.01,7.69E+03,3.29E+08,2.24,0.9,89.63083697,1.65E+03,7.07E+07,0.482,2.03E+02,8.70E+06,0.059,8.12,812.348605,3.42E+05,1.47E+10
93,21,11,control,D,BS,20/07/2022,cont.D,CDBS4,7.33E+03,5.08E+08,2.88,6.42E+03,4.45E+08,2.52,1.14,114.0918944,2.54E+03,1.76E+08,0.996,3.81E+02,2.64E+07,0.149,6.67,666.9250163,2.55E+05,1.77E+10
94,22,11,rainout,D,BS,20/07/2022,rain.D,RDBS4,8.09E+03,4.62E+08,2.66,6.48E+03,3.70E+08,2.13,1.25,124.9048666,1.39E+03,7.95E+07,0.458,2.48E+02,1.42E+07,0.082,5.62,561.53118,3.04E+05,1.73E+10
95,23,12,control,M,BS,20/07/2022,cont.M,CMBS4,7.92E+03,3.85E+08,1.77,1.14E+04,5.53E+08,2.54,0.7,69.5549049,2.31E+03,1.12E+08,0.515,2.86E+02,1.39E+07,0.064,8.08,807.6932443,4.48E+05,2.18E+10
96,24,12,rainout,M,BS,20/07/2022,rain.M,RMBS4,9.04E+03,3.86E+08,2.36,9.89E+03,4.23E+08,2.58,0.91,91.3726813,2.52E+03,1.08E+08,0.657,2.39E+02,1.02E+07,0.062,10.57,1057.092486,3.84E+05,1.64E+10
97,1,1,control,M,BS,13/09/2022,cont.M,CMBS5,6.89E+03,3.47E+08,1.71,9.03E+03,4.54E+08,2.24,0.76,76.3178609,1.33E+03,6.70E+07,0.331,2.18E+02,1.10E+07,0.054,6.11,610.7768235,4.03E+05,2.03E+10
98,2,1,rainout,M,BS,13/09/2022,rain.M,RMBS5,7.86E+03,2.86E+08,1.92,9.23E+03,3.36E+08,2.26,0.85,85.11213771,1.21E+03,4.42E+07,0.297,2.05E+02,7.45E+06,0.05,5.93,593.3694809,4.09E+05,1.49E+10
99,3,2,control,D,BS,13/09/2022,cont.D,CDBS5,8.12E+03,4.48E+08,2.83,6.64E+03,3.66E+08,2.32,1.22,122.1934395,1.73E+03,9.57E+07,0.605,2.58E+02,1.42E+07,0.09,6.72,672.2008775,2.87E+05,1.58E+10
100,4,2,rainout,D,BS,13/09/2022,rain.D,RDBS5,7.34E+03,4.08E+08,2.72,5.75E+03,3.20E+08,2.13,1.28,127.5588936,1.50E+03,8.35E+07,0.557,2.20E+02,1.23E+07,0.082,6.81,681.2752631,2.69E+05,1.50E+10
101,5,3,control,K,BS,13/09/2022,cont.K,CKBS5,1.05E+04,4.06E+08,2.42,9.68E+03,3.73E+08,2.23,1.09,108.8829355,1.57E+03,6.04E+07,0.361,2.82E+02,1.09E+07,0.065,5.55,555.1721953,4.35E+05,1.67E+10
102,6,3,rainout,K,BS,13/09/2022,rain.K,RKBS5,6.98E+03,2.48E+08,2.4,7.56E+03,2.68E+08,2.59,0.92,92.35448396,1.26E+03,4.46E+07,0.431,1.09E+02,3.86E+06,0.037,11.58,1157.564251,2.91E+05,1.03E+10
103,7,4,control,K,BS,13/09/2022,cont.K,CKBS5,8.34E+03,3.32E+08,2.14,8.81E+03,3.51E+08,2.27,0.95,94.60138228,1.48E+03,5.90E+07,0.381,2.50E+02,9.93E+06,0.064,5.94,594.2397827,3.89E+05,1.55E+10
104,8,4,rainout,K,BS,13/09/2022,rain.K,RKBS5,9.87E+03,3.40E+08,3.34,7.37E+03,2.54E+08,2.49,1.34,133.9179341,2.39E+03,8.24E+07,0.809,1.67E+02,5.77E+06,0.057,14.29,1428.852999,2.95E+05,1.02E+10
105,9,5,control,M,BS,13/09/2022,cont.M,CMBS5,5.99E+03,1.83E+08,2.07,7.99E+03,2.44E+08,2.76,0.75,74.88026659,1.86E+03,5.66E+07,0.641,2.23E+02,6.80E+06,0.077,8.32,832.4646202,2.90E+05,8.84E+09
106,10,5,rainout,M,BS,13/09/2022,rain.M,RMBS5,6.79E+03,2.14E+08,1.73,6.97E+03,2.19E+08,1.77,0.97,97.42803084,1.88E+03,5.91E+07,0.477,1.33E+02,4.20E+06,0.034,14.07,1406.655006,3.93E+05,1.24E+10
107,11,6,control,D,BS,13/09/2022,cont.D,CDBS5,1.18E+04,6.45E+08,2.52,6.82E+03,3.72E+08,1.45,1.74,173.6244757,2.97E+03,1.62E+08,0.633,2.89E+02,1.58E+07,0.062,10.28,1028.289768,4.70E+05,2.56E+10
108,12,6,rainout,D,BS,13/09/2022,rain.D,RDBS5,1.29E+04,6.85E+08,2.97,7.12E+03,3.77E+08,1.63,1.82,181.5297209,2.48E+03,1.32E+08,0.57,1.73E+02,9.17E+06,0.04,14.34,1433.969912,4.36E+05,2.31E+10
109,13,7,control,D,BS,13/09/2022,cont.D,CDBS5,5.78E+03,3.27E+08,1.78,5.88E+03,3.32E+08,1.81,0.98,98.28989174,9.03E+02,5.11E+07,0.279,2.39E+02,1.35E+07,0.074,3.77,377.4191798,3.24E+05,1.83E+10
110,14,7,rainout,D,BS,13/09/2022,rain.D,RDBS5,6.62E+03,3.81E+08,1.93,5.33E+03,3.07E+08,1.55,1.24,124.0549405,1.20E+03,6.89E+07,0.348,1.95E+02,1.12E+07,0.057,6.13,613.0831325,3.44E+05,1.98E+10
111,15,8,control,M,BS,13/09/2022,cont.M,CMBS5,5.67E+03,1.46E+08,1.97,8.90E+03,2.29E+08,3.09,0.64,63.73147335,1.29E+03,3.31E+07,0.446,1.82E+02,4.67E+06,0.063,7.09,708.5159456,2.88E+05,7.42E+09
112,16,8,rainout,M,BS,13/09/2022,rain.M,RMBS5,3.11E+03,7.86E+07,1.11,8.86E+03,2.24E+08,3.16,0.35,35.14084126,1.27E+03,3.20E+07,0.451,1.03E+02,2.59E+06,0.037,12.34,1233.888359,2.81E+05,7.09E+09
113,17,9,control,K,BS,13/09/2022,cont.K,CKBS5,6.86E+03,2.73E+08,2.01,8.77E+03,3.49E+08,2.57,0.78,78.18250278,1.66E+03,6.58E+07,0.485,1.62E+02,6.43E+06,0.047,10.22,1022.398574,3.41E+05,1.36E+10
114,18,9,rainout,K,BS,13/09/2022,rain.K,RKBS5,8.77E+03,3.10E+08,2.59,8.67E+03,3.07E+08,2.56,1.01,101.0882854,1.26E+03,4.46E+07,0.372,1.25E+02,4.43E+06,0.037,10.06,1006.456532,3.39E+05,1.20E+10
115,19,10,control,K,BS,13/09/2022,cont.K,CKBS5,9.05E+03,3.41E+08,1.83,7.31E+03,2.75E+08,1.48,1.24,123.7899279,1.29E+03,4.85E+07,0.261,3.16E+02,1.19E+07,0.064,4.07,407.0285104,4.93E+05,1.86E+10
116,20,10,rainout,K,BS,13/09/2022,rain.K,RKBS5,8.87E+03,2.71E+08,2.08,8.01E+03,2.45E+08,1.88,1.11,110.6720838,2.18E+03,6.66E+07,0.511,2.32E+02,7.08E+06,0.054,9.4,940.1954501,4.26E+05,1.30E+10
117,21,11,control,D,BS,13/09/2022,cont.D,CDBS5,6.91E+03,3.85E+08,2.56,6.99E+03,3.90E+08,2.58,0.99,98.93884539,2.47E+03,1.38E+08,0.914,2.76E+02,1.54E+07,0.102,8.98,897.8023867,2.71E+05,1.51E+10
118,22,11,rainout,D,BS,13/09/2022,rain.D,RDBS5,8.61E+03,5.56E+08,2.22,6.35E+03,4.10E+08,1.63,1.36,135.558122,2.36E+03,1.52E+08,0.607,1.82E+02,1.17E+07,0.047,13,1299.561649,3.89E+05,2.51E+10
119,23,12,control,M,BS,13/09/2022,cont.M,CMBS5,6.97E+03,3.48E+08,1.8,1.03E+04,5.15E+08,2.67,0.67,67.47293163,2.81E+03,1.40E+08,0.724,3.06E+02,1.52E+07,0.079,9.19,918.8625252,3.88E+05,1.93E+10
120,24,12,rainout,M,BS,13/09/2022,rain.M,RMBS5,8.47E+03,3.97E+08,2.06,8.71E+03,4.09E+08,2.12,0.97,97.21713797,2.29E+03,1.07E+08,0.556,2.09E+02,9.80E+06,0.051,10.97,1096.966605,4.12E+05,1.93E+10
121,1,1,control,M,RS,28/04/2022,cont.M,CMRS1,5.88E+03,NA,1.62,9.59E+03,NA,2.65,0.61,61.28812144,1.58E+03,NA,0.437,1.61E+02,NA,0.045,9.8,980.2338765,3.62E+05,NA
122,2,1,rainout,M,RS,28/04/2022,rain.M,RMRS1,6.07E+03,NA,1.72,1.21E+04,NA,3.45,0.5,50.0365975,1.58E+03,NA,0.449,1.93E+02,NA,0.055,8.18,818.2258974,3.52E+05,NA
123,3,2,control,D,RS,28/04/2022,cont.D,CDRS1,5.04E+03,NA,1.89,5.77E+03,NA,2.16,0.87,87.30899788,1.13E+03,NA,0.424,1.59E+02,NA,0.06,7.11,711.3971885,2.67E+05,NA
124,4,2,rainout,D,RS,28/04/2022,rain.D,RDRS1,6.58E+03,NA,2.17,9.77E+03,NA,3.22,0.67,67.34287425,1.55E+03,NA,0.511,2.20E+02,NA,0.073,7.03,703.266219,3.03E+05,NA
125,5,3,control,K,RS,28/04/2022,cont.K,CKRS1,6.10E+03,NA,1.94,7.64E+03,NA,2.42,0.8,79.90246013,1.62E+03,NA,0.515,1.35E+02,NA,0.043,12.02,1202.376659,3.15E+05,NA
126,6,3,rainout,K,RS,28/04/2022,rain.K,RKRS1,7.70E+03,NA,2.15,1.29E+04,NA,3.59,0.6,59.86943784,1.58E+03,NA,0.44,1.82E+02,NA,0.051,8.65,864.858667,3.58E+05,NA
127,7,4,control,K,RS,28/04/2022,cont.K,CKRS1,7.14E+03,NA,1.93,8.93E+03,NA,2.41,0.8,79.94789147,2.01E+03,NA,0.543,1.73E+02,NA,0.047,11.64,1163.690647,3.71E+05,NA
128,8,4,rainout,K,RS,28/04/2022,rain.K,RKRS1,4.91E+03,NA,1.4,8.72E+03,NA,2.49,0.56,56.32321858,2.06E+03,NA,0.588,1.60E+02,NA,0.046,12.86,1285.8909,3.49E+05,NA
129,9,5,control,M,RS,28/04/2022,cont.M,CMRS1,6.63E+03,NA,1.64,8.42E+03,NA,2.08,0.79,78.76762611,2.11E+03,NA,0.52,1.89E+02,NA,0.047,11.13,1112.928515,4.05E+05,NA
130,10,5,rainout,M,RS,28/04/2022,rain.M,RMRS1,7.29E+03,NA,2.14,1.06E+04,NA,3.12,0.69,68.68551923,2.12E+03,NA,0.623,2.28E+02,NA,0.067,9.31,930.9744768,3.41E+05,NA
131,11,6,control,D,RS,28/04/2022,cont.D,CDRS1,8.69E+03,NA,1.83,1.16E+04,NA,2.45,0.75,74.92857343,2.88E+03,NA,0.607,2.82E+02,NA,0.06,10.19,1019.211271,4.74E+05,NA
132,12,6,rainout,D,RS,28/04/2022,rain.D,RDRS1,1.03E+04,NA,2.65,7.86E+03,NA,2.03,1.31,130.9131849,2.30E+03,NA,0.592,2.18E+02,NA,0.056,10.56,1056.089876,3.88E+05,NA
133,13,7,control,D,RS,28/04/2022,cont.D,CDRS1,3.80E+03,NA,1.6,5.05E+03,NA,2.13,0.75,75.18251788,1.21E+03,NA,0.508,1.59E+02,NA,0.067,7.59,759.4248265,2.37E+05,NA
134,14,7,rainout,D,RS,28/04/2022,rain.D,RDRS1,5.12E+03,NA,1.35,8.84E+03,NA,2.33,0.58,57.91545538,1.79E+03,NA,0.471,2.03E+02,NA,0.053,8.83,882.742748,3.80E+05,NA
135,15,8,control,M,RS,28/04/2022,cont.M,CMRS1,4.35E+03,NA,1.23,7.26E+03,NA,2.05,0.6,59.9137862,1.56E+03,NA,0.439,1.62E+02,NA,0.046,9.6,959.7951873,3.54E+05,NA
136,16,8,rainout,M,RS,28/04/2022,rain.M,RMRS1,5.65E+03,NA,1.32,9.57E+03,NA,2.24,0.59,58.96316137,1.55E+03,NA,0.362,2.46E+02,NA,0.058,6.28,628.3129753,4.28E+05,NA
137,17,9,control,K,RS,28/04/2022,cont.K,CKRS1,3.96E+03,NA,1.18,1.33E+04,NA,3.96,0.3,29.72064878,1.60E+03,NA,0.476,1.13E+02,NA,0.034,14.18,1418.103593,3.36E+05,NA
138,18,9,rainout,K,RS,28/04/2022,rain.K,RKRS1,6.78E+03,NA,2.01,1.08E+04,NA,3.22,0.63,62.6270691,1.57E+03,NA,0.466,1.68E+02,NA,0.05,9.35,935.1290772,3.37E+05,NA
139,19,10,control,K,RS,28/04/2022,cont.K,CKRS1,5.12E+03,NA,1.81,8.14E+03,NA,2.87,0.63,62.88453837,2.36E+03,NA,0.833,1.87E+02,NA,0.066,12.61,1261.241124,2.83E+05,NA
140,20,10,rainout,K,RS,28/04/2022,rain.K,RKRS1,6.39E+03,NA,1.81,1.06E+04,NA,3.02,0.6,60.01872631,2.33E+03,NA,0.662,2.15E+02,NA,0.061,10.85,1084.588636,3.53E+05,NA
141,21,11,control,D,RS,28/04/2022,cont.D,CDRS1,5.07E+03,NA,1.65,6.24E+03,NA,2.03,0.81,81.29266549,2.57E+03,NA,0.836,2.11E+02,NA,0.069,12.17,1216.563762,3.07E+05,NA
142,22,11,rainout,D,RS,28/04/2022,rain.D,RDRS1,8.98E+03,NA,2.48,7.28E+03,NA,2,1.23,123.4915906,2.83E+03,NA,0.781,1.77E+02,NA,0.049,16.02,1602.376105,3.63E+05,NA
143,23,12,control,M,RS,28/04/2022,cont.M,CMRS1,6.43E+03,NA,1.73,7.54E+03,NA,2.03,0.85,85.20947675,2.91E+03,NA,0.784,2.28E+02,NA,0.061,12.76,1275.610761,3.71E+05,NA
144,24,12,rainout,M,RS,28/04/2022,rain.M,RMRS1,5.80E+03,NA,1.98,8.89E+03,NA,3.03,0.65,65.29105988,1.77E+03,NA,0.602,2.06E+02,NA,0.07,8.56,855.8026142,2.93E+05,NA
145,1,1,control,M,RS,01/06/2022,cont.M,CMRS2,5.66E+03,NA,1.71,9.55E+03,NA,2.88,0.59,59.27663524,1.49E+03,NA,0.449,1.87E+02,NA,0.056,7.97,796.8032414,3.31E+05,NA
146,2,1,rainout,M,RS,01/06/2022,rain.M,RMRS2,7.91E+03,NA,1.95,1.15E+04,NA,2.84,0.69,68.64010237,1.72E+03,NA,0.424,2.60E+02,NA,0.064,6.61,660.6034915,4.05E+05,NA
147,3,2,control,D,RS,01/06/2022,cont.D,CDRS2,6.84E+03,NA,2.2,7.20E+03,NA,2.32,0.95,94.9505476,1.72E+03,NA,0.555,2.55E+02,NA,0.082,6.75,674.9333391,3.10E+05,NA
148,4,2,rainout,D,RS,01/06/2022,rain.D,RDRS2,8.33E+03,NA,2.38,8.43E+03,NA,2.41,0.99,98.76702814,1.78E+03,NA,0.509,2.30E+02,NA,0.066,7.74,773.7046104,3.50E+05,NA
149,5,3,control,K,RS,01/06/2022,cont.K,CKRS2,9.05E+03,NA,2.09,1.08E+04,NA,2.49,0.84,83.91957931,2.13E+03,NA,0.493,2.39E+02,NA,0.055,8.92,892.0635332,4.33E+05,NA
150,6,3,rainout,K,RS,01/06/2022,rain.K,RKRS2,6.25E+03,NA,2.32,7.88E+03,NA,2.92,0.79,79.34473403,1.19E+03,NA,0.443,1.45E+02,NA,0.054,8.24,823.9456055,2.69E+05,NA
151,7,4,control,K,RS,01/06/2022,cont.K,CKRS2,5.59E+03,NA,1.97,7.38E+03,NA,2.6,0.76,75.77115915,2.24E+03,NA,0.788,2.06E+02,NA,0.073,10.85,1085.468086,2.84E+05,NA
152,8,4,rainout,K,RS,01/06/2022,rain.K,RKRS2,4.81E+03,NA,1.43,9.83E+03,NA,2.92,0.49,48.91935712,2.41E+03,NA,0.716,1.98E+02,NA,0.059,12.19,1219.161447,3.37E+05,NA
153,9,5,control,M,RS,01/06/2022,cont.M,CMRS2,4.24E+03,NA,1.33,8.19E+03,NA,2.57,0.52,51.74285007,2.12E+03,NA,0.664,1.71E+02,NA,0.054,12.37,1236.798518,3.19E+05,NA
154,10,5,rainout,M,RS,01/06/2022,rain.M,RMRS2,4.19E+03,NA,1.34,8.10E+03,NA,2.59,0.52,51.7300002,2.40E+03,NA,0.765,1.75E+02,NA,0.056,13.68,1367.632581,3.13E+05,NA
155,11,6,control,D,RS,01/06/2022,cont.D,CDRS2,6.77E+03,NA,2.57,6.28E+03,NA,2.38,1.08,107.8875108,2.20E+03,NA,0.834,1.62E+02,NA,0.061,13.63,1362.653655,2.64E+05,NA
156,12,6,rainout,D,RS,01/06/2022,rain.D,RDRS2,8.67E+03,NA,2.98,6.32E+03,NA,2.17,1.37,137.0697552,2.12E+03,NA,0.728,1.76E+02,NA,0.061,12.03,1203.01785,2.91E+05,NA
157,13,7,control,D,RS,01/06/2022,cont.D,CDRS2,5.50E+03,NA,1.51,6.73E+03,NA,1.85,0.82,81.62744927,1.17E+03,NA,0.321,1.87E+02,NA,0.051,6.24,624.4364472,3.64E+05,NA
158,14,7,rainout,D,RS,01/06/2022,rain.D,RDRS2,5.53E+03,NA,1.94,6.41E+03,NA,2.25,0.86,86.21642822,1.56E+03,NA,0.547,2.30E+02,NA,0.081,6.77,676.7015089,2.85E+05,NA
159,15,8,control,M,RS,01/06/2022,cont.M,CMRS2,3.30E+03,NA,0.99,7.71E+03,NA,2.31,0.43,42.79062417,1.44E+03,NA,0.43,1.25E+02,NA,0.037,11.49,1148.949776,3.34E+05,NA
160,16,8,rainout,M,RS,01/06/2022,rain.M,RMRS2,5.49E+03,NA,1.76,6.89E+03,NA,2.21,0.8,79.61554771,1.76E+03,NA,0.563,1.60E+02,NA,0.051,11,1100.259099,3.12E+05,NA
161,17,9,control,K,RS,01/06/2022,cont.K,CKRS2,4.73E+03,NA,1.26,1.04E+04,NA,2.78,0.45,45.29819858,1.66E+03,NA,0.443,1.33E+02,NA,0.035,12.53,1253.157774,3.76E+05,NA
162,18,9,rainout,K,RS,01/06/2022,rain.K,RKRS2,6.82E+03,NA,2.41,8.05E+03,NA,2.85,0.85,84.67499313,1.27E+03,NA,0.447,1.69E+02,NA,0.06,7.5,750.0923427,2.83E+05,NA
163,19,10,control,K,RS,01/06/2022,cont.K,CKRS2,4.61E+03,NA,1.6,7.72E+03,NA,2.67,0.6,59.75994453,2.05E+03,NA,0.71,1.90E+02,NA,0.066,10.79,1078.93373,2.89E+05,NA
164,20,10,rainout,K,RS,01/06/2022,rain.K,RKRS2,5.69E+03,NA,1.69,1.20E+04,NA,3.57,0.47,47.34504906,1.74E+03,NA,0.516,2.06E+02,NA,0.061,8.46,845.9120519,3.37E+05,NA
165,21,11,control,D,RS,01/06/2022,cont.D,CDRS2,4.28E+03,NA,1.47,6.58E+03,NA,2.27,0.65,65.02948371,1.78E+03,NA,0.614,2.11E+02,NA,0.073,8.43,842.7635758,2.90E+05,NA
166,22,11,rainout,D,RS,01/06/2022,rain.D,RDRS2,7.10E+03,NA,2.08,7.73E+03,NA,2.27,0.92,91.94956215,2.05E+03,NA,0.602,2.16E+02,NA,0.063,9.53,952.543222,3.41E+05,NA
167,23,12,control,M,RS,01/06/2022,cont.M,CMRS2,6.38E+03,NA,1.25,1.23E+04,NA,2.41,0.52,52.0669262,3.00E+03,NA,0.588,1.93E+02,NA,0.038,15.56,1556.47936,5.09E+05,NA
168,24,12,rainout,M,RS,01/06/2022,rain.M,RMRS2,7.99E+03,NA,2.07,6.51E+03,NA,1.69,1.23,122.8665024,2.14E+03,NA,0.554,1.81E+02,NA,0.047,11.79,1179.395349,3.85E+05,NA
169,1,1,control,M,RS,05/07/2022,cont.M,CMRS3,4.39E+03,NA,1.27,1.09E+04,NA,3.16,0.4,40.1765198,1.16E+03,NA,0.333,1.68E+02,NA,0.048,6.88,687.6429023,3.47E+05,NA
170,2,1,rainout,M,RS,05/07/2022,rain.M,RMRS3,4.95E+03,NA,1.58,8.68E+03,NA,2.76,0.57,57.03048868,1.34E+03,NA,0.426,1.62E+02,NA,0.051,8.29,829.4226658,3.14E+05,NA
171,3,2,control,D,RS,05/07/2022,cont.D,CDRS3,6.26E+03,NA,1.93,7.72E+03,NA,2.38,0.81,81.12462757,1.41E+03,NA,0.433,1.81E+02,NA,0.056,7.76,776.2242502,3.25E+05,NA
172,4,2,rainout,D,RS,05/07/2022,rain.D,RDRS3,5.54E+03,NA,1.96,6.48E+03,NA,2.29,0.85,85.45601915,1.10E+03,NA,0.39,1.97E+02,NA,0.069,5.61,561.357647,2.83E+05,NA
173,5,3,control,K,RS,05/07/2022,cont.K,CKRS3,5.41E+03,NA,1.59,8.52E+03,NA,2.5,0.63,63.43836075,1.19E+03,NA,0.349,1.69E+02,NA,0.05,7.03,702.9946702,3.41E+05,NA
174,6,3,rainout,K,RS,05/07/2022,rain.K,RKRS3,7.59E+03,NA,1.78,1.03E+04,NA,2.42,0.73,73.49955472,1.19E+03,NA,0.279,1.71E+02,NA,0.04,6.95,695.3387948,4.26E+05,NA
175,7,4,control,K,RS,05/07/2022,cont.K,CKRS3,3.28E+03,NA,1.47,5.66E+03,NA,2.53,0.58,58.05480919,1.46E+03,NA,0.651,1.15E+02,NA,0.051,12.66,1265.983089,2.24E+05,NA
176,8,4,rainout,K,RS,05/07/2022,rain.K,RKRS3,5.08E+03,NA,1.5,9.25E+03,NA,2.72,0.55,54.9598217,2.05E+03,NA,0.603,1.87E+02,NA,0.055,10.96,1096.398287,3.40E+05,NA
177,9,5,control,M,RS,05/07/2022,cont.M,CMRS3,3.77E+03,NA,1.09,7.47E+03,NA,2.16,0.5,50.49735675,2.05E+03,NA,0.593,1.61E+02,NA,0.047,12.74,1273.903423,3.47E+05,NA
178,10,5,rainout,M,RS,05/07/2022,rain.M,RMRS3,4.84E+03,NA,1.38,1.07E+04,NA,3.04,0.45,45.29603179,1.83E+03,NA,0.519,1.38E+02,NA,0.039,13.21,1321.309496,3.52E+05,NA
179,11,6,control,D,RS,05/07/2022,cont.D,CDRS3,7.26E+03,NA,2.1,7.57E+03,NA,2.19,0.96,95.98501319,1.94E+03,NA,0.562,2.22E+02,NA,0.064,8.73,872.6503503,3.45E+05,NA
180,12,6,rainout,D,RS,05/07/2022,rain.D,RDRS3,9.32E+03,NA,2.85,5.76E+03,NA,1.76,1.62,161.9875983,1.87E+03,NA,0.571,1.84E+02,NA,0.056,10.18,1018.346962,3.28E+05,NA
181,13,7,control,D,RS,05/07/2022,cont.D,CDRS3,5.91E+03,NA,1.64,6.76E+03,NA,1.87,0.87,87.3790907,1.33E+03,NA,0.367,2.00E+02,NA,0.055,6.64,664.2510881,3.61E+05,NA
182,14,7,rainout,D,RS,05/07/2022,rain.D,RDRS3,5.88E+03,NA,1.92,5.85E+03,NA,1.91,1.01,100.514199,1.21E+03,NA,0.397,1.82E+02,NA,0.06,6.68,667.8765754,3.06E+05,NA
183,15,8,control,M,RS,05/07/2022,cont.M,CMRS3,1.83E+03,NA,0.84,6.01E+03,NA,2.77,0.3,30.40548155,9.08E+02,NA,0.418,8.79E+01,NA,0.04,10.33,1032.684495,2.17E+05,NA
184,16,8,rainout,M,RS,05/07/2022,rain.M,RMRS3,3.62E+03,NA,1.49,5.48E+03,NA,2.25,0.66,66.16801249,1.29E+03,NA,0.53,1.37E+02,NA,0.056,9.42,942.1220543,2.44E+05,NA
185,17,9,control,K,RS,05/07/2022,cont.K,CKRS3,4.15E+03,NA,1.6,6.91E+03,NA,2.66,0.6,60.05580955,1.13E+03,NA,0.435,1.55E+02,NA,0.06,7.3,729.61456,2.60E+05,NA
186,18,9,rainout,K,RS,05/07/2022,rain.K,RKRS3,5.42E+03,NA,1.96,7.50E+03,NA,2.71,0.72,72.2521575,1.21E+03,NA,0.438,1.29E+02,NA,0.047,9.39,938.9960856,2.77E+05,NA
187,19,10,control,K,RS,05/07/2022,cont.K,CKRS3,3.26E+03,NA,1.26,8.13E+03,NA,3.15,0.4,40.13841765,1.27E+03,NA,0.492,1.60E+02,NA,0.062,7.93,792.5528783,2.58E+05,NA
188,20,10,rainout,K,RS,05/07/2022,rain.K,RKRS3,3.98E+03,NA,1.26,9.91E+03,NA,3.14,0.4,40.14004604,1.90E+03,NA,0.603,2.07E+02,NA,0.065,9.2,920.1706997,3.16E+05,NA
189,21,11,control,D,RS,05/07/2022,cont.D,CDRS3,4.20E+03,NA,1.58,8.43E+03,NA,3.18,0.5,49.8154584,2.42E+03,NA,0.912,2.11E+02,NA,0.08,11.44,1144.335065,2.65E+05,NA
190,22,11,rainout,D,RS,05/07/2022,rain.D,RDRS3,8.63E+03,NA,2.02,8.90E+03,NA,2.08,0.97,97.05140465,2.36E+03,NA,0.552,2.21E+02,NA,0.052,10.7,1069.821121,4.28E+05,NA
191,23,12,control,M,RS,05/07/2022,cont.M,CMRS3,6.22E+03,NA,1.23,9.31E+03,NA,1.85,0.67,66.80120145,2.34E+03,NA,0.463,2.01E+02,NA,0.04,11.6,1159.574538,5.05E+05,NA
192,24,12,rainout,M,RS,05/07/2022,rain.M,RMRS3,7.26E+03,NA,1.78,8.19E+03,NA,2.01,0.89,88.68275046,2.41E+03,NA,0.591,1.69E+02,NA,0.041,14.25,1424.802413,4.08E+05,NA
